CLUSTER_GRUPO;CEP_RISCO;DS_MOD_PRC;MOD_PRC;DS_MOD_ADC;MOD_ADC;OFERTA;OFERTA_GERAL;OFERTA_DIGITAL;OFERTA_URA;OFERTA_PAP;OFERTA_OUTBOUND
G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R01;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R02;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R03;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R04;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R05;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R06;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R07;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R08;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R09;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R10;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R11;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R12;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R13;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R14;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R15;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R16;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R17;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R18;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R19;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R01;G1 - BHV;R20;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R01;Restritivos;y. Sem Rest;15;15;15;15;15;15
G1;d. SEM RISCO;HVI3;R01;Restritivos;z. Com Rest;15;15;15;15;15;15
